Rule
['High CN'] --> ['Moderate PostTest']
['High CRF'] --> ['Moderate PostTest']
['High ESF'] --> ['Moderate PostTest']
['Low PreTest'] --> ['High PostTest']
['Low TP'] --> ['High PostTest']
['Moderate Stress'] --> ['High PostTest']
['Severe Depression'] --> ['High PostTest']
['High TN'] --> ['Moderate PostTest']
['Mild Stress'] --> ['Moderate PostTest']
['Moderate Anxiety'] --> ['Moderate PostTest']
['Moderate Depression'] --> ['Moderate PostTest']
"['High CN', 'High TP'] --> ['High PostTest']"
"['Moderate CRF', 'High CN'] --> ['High PostTest']"
"['High CN', 'Normal Depression'] --> ['High PostTest']"
"['High CN', 'Normal Stress'] --> ['High PostTest']"
"['Positive Delta', 'High CN'] --> ['High PostTest']"
"['High CP', 'Moderate Stress'] --> ['High PostTest']"
"['Low ESF', 'High CRF'] --> ['High PostTest']"
"['Neutral Delta', 'High CRF'] --> ['High PostTest']"
"['High ESF', 'Mild Depression'] --> ['High PostTest']"
"['High ESF', 'Neutral Delta'] --> ['High PostTest']"
"['High PreTest', 'Moderate Stress'] --> ['High PostTest']"
"['Moderate PreTest', 'High TN'] --> ['High PostTest']"
"['High TN', 'Normal Depression'] --> ['High PostTest']"
"['High TN', 'Normal Stress'] --> ['High PostTest']"
"['Moderate Stress', 'High TP'] --> ['High PostTest']"
"['Low TP', 'Low CN'] --> ['High PostTest']"
"['Low CN', 'Mild Stress'] --> ['High PostTest']"
"['Low ESF', 'Mild Depression'] --> ['High PostTest']"
"['Low ESF', 'Severe Anxiety'] --> ['High PostTest']"
"['Mild Stress', 'Low TN'] --> ['High PostTest']"
"['Severe Anxiety', 'Low TN'] --> ['High PostTest']"
"['Low TP', 'Moderate ESF'] --> ['High PostTest']"
"['Low TP', 'Normal Stress'] --> ['High PostTest']"
"['Mild Anxiety', 'Mild Stress'] --> ['High PostTest']"
"['Mild Anxiety', 'Moderate Depression'] --> ['High PostTest']"
"['Neutral Delta', 'Mild Depression'] --> ['High PostTest']"
"['Mild Depression', 'Severe Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'Mild Stress'] --> ['High PostTest']"
"['Mild Stress', 'Neutral Delta'] --> ['High PostTest']"
"['Neutral Delta', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate Depression'] --> ['High PostTest']"
"['Moderate Depression', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate Stress', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate PreTest', 'Severe Anxiety'] --> ['High PostTest']"
"['Positive Delta', 'Moderate Stress'] --> ['High PostTest']"
"['High CRF', 'Severe Anxiety', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate TN', 'High CRF'] --> ['High PostTest']"
"['Moderate PreTest', 'High CRF', 'Moderate TP'] --> ['High PostTest']"
"['Moderate TN', 'High CRF', 'Normal Anxiety'] --> ['High PostTest']"
"['High CRF', 'Normal Anxiety', 'Moderate TP'] --> ['High PostTest']"
"['High CRF', 'Normal Depression', 'Moderate TP'] --> ['High PostTest']"
"['Normal Stress', 'High CRF', 'Moderate TP'] --> ['High PostTest']"
"['Positive Delta', 'High CRF', 'Moderate TP'] --> ['High PostTest']"
"['High CRF', 'Negative Delta', 'Normal Anxiety'] --> ['High PostTest']"
"['Neutral Delta', 'High CRF', 'Normal Depression'] --> ['High PostTest']"
"['Normal Stress', 'Neutral Delta', 'High CRF'] --> ['High PostTest']"
"['Normal Stress', 'High CRF', 'Severe Anxiety'] --> ['High PostTest']"
"['Mild Anxiety', 'Low CN', 'High ESF'] --> ['High PostTest']"
"['Moderate CRF', 'Mild Anxiety', 'High ESF'] --> ['High PostTest']"
"['High ESF', 'Normal Depression', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate CN', 'High ESF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate CP', 'High ESF'] --> ['High PostTest']"
"['Moderate CP', 'High ESF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CP', 'High ESF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CRF', 'High ESF', 'Moderate PreTest'] --> ['High PostTest']"
"['Moderate CRF', 'High ESF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'High ESF', 'Moderate TP'] --> ['High PostTest']"
"['Moderate PreTest', 'High ESF', 'Normal Anxiety'] --> ['High PostTest']"
"['High ESF', 'Moderate TN', 'Normal Anxiety'] --> ['High PostTest']"
"['High ESF', 'Moderate TN', 'Normal Depression'] --> ['High PostTest']"
"['High ESF', 'Normal Anxiety', 'Moderate TP'] --> ['High PostTest']"
"['High ESF', 'Normal Depression', 'Moderate TP'] --> ['High PostTest']"
"['Positive Delta', 'High ESF', 'Normal Anxiety'] --> ['High PostTest']"
"['High PreTest', 'Low CN', 'Mild Stress'] --> ['High PostTest']"
"['High PreTest', 'Low CN', 'Severe Anxiety'] --> ['High PostTest']"
"['Low ESF', 'High PreTest', 'Normal Anxiety'] --> ['High PostTest']"
"['High PreTest', 'Mild Depression', 'Severe Anxiety'] --> ['High PostTest']"
"['High PreTest', 'Moderate Stress', 'Moderate ESF'] --> ['High PostTest']"
"['High PreTest', 'Positive Delta', 'Moderate Stress'] --> ['High PostTest']"
"['Severe Anxiety', 'High PreTest', 'Normal Depression'] --> ['High PostTest']"
"['High PreTest', 'Normal Stress', 'Severe Anxiety'] --> ['High PostTest']"
"['Moderate CRF', 'Moderate CP', 'High TN'] --> ['High PostTest']"
"['Moderate CP', 'High TN', 'Positive Delta'] --> ['High PostTest']"
"['Moderate CRF', 'High TN', 'Moderate ESF'] --> ['High PostTest']"
"['Low ESF', 'Mild Stress', 'High TP'] --> ['High PostTest']"
"['Low ESF', 'Moderate TN', 'High TP'] --> ['High PostTest']"
"['Low TN', 'Severe Anxiety', 'High TP'] --> ['High PostTest']"
"['Mild Anxiety', 'Moderate CP', 'High TP'] --> ['High PostTest']"
"['Mild Anxiety', 'Moderate Depression', 'High TP'] --> ['High PostTest']"
"['Mild Depression', 'Severe Anxiety', 'High TP'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate Depression', 'High TP'] --> ['High PostTest']"
"['Severe Anxiety', 'Normal Depression', 'High TP'] --> ['High PostTest']"
"['Low ESF', 'Low CN', 'Moderate Anxiety'] --> ['High PostTest']"
"['Low ESF', 'Moderate CP', 'Low CN'] --> ['High PostTest']"
"['Mild Anxiety', 'Low CN', 'Negative Delta'] --> ['High PostTest']"
"['Moderate CRF', 'Low CN', 'Mild Stress'] --> ['High PostTest']"
"['Low CN', 'Mild Stress', 'Moderate ESF'] --> ['High PostTest']"
"['Low CN', 'Mild Stress', 'Normal Depression'] --> ['High PostTest']"
"['Low CN', 'Positive Delta', 'Mild Stress'] --> ['High PostTest']"
"['Moderate CRF', 'Low CN', 'Severe Anxiety'] --> ['High PostTest']"
"['Low CN', 'Moderate Depression', 'Moderate ESF'] --> ['High PostTest']"
"['Low CN', 'Severe Anxiety', 'Moderate ESF'] --> ['High PostTest']"
"['Low CN', 'Neutral Delta', 'Moderate TN'] --> ['High PostTest']"
"['Low CN', 'Neutral Delta', 'Moderate TP'] --> ['High PostTest']"
"['Low CN', 'Severe Anxiety', 'Moderate TP'] --> ['High PostTest']"
"['Severe Anxiety', 'Low CN', 'Normal Depression'] --> ['High PostTest']"
"['Low ESF', 'Moderate CP', 'Low TN'] --> ['High PostTest']"
"['Low ESF', 'Moderate TP', 'Low TN'] --> ['High PostTest']"
"['Low ESF', 'Mild Anxiety', 'Moderate CN'] --> ['High PostTest']"
"['Low ESF', 'Mild Anxiety', 'Moderate TN'] --> ['High PostTest']"
"['Low ESF', 'Moderate PreTest', 'Moderate Anxiety'] --> ['High PostTest']"
"['Low ESF', 'Moderate CN', 'Moderate PreTest'] --> ['High PostTest']"
"['Low ESF', 'Moderate CN', 'Normal Anxiety'] --> ['High PostTest']"
"['Low ESF', 'Moderate TN', 'Moderate PreTest'] --> ['High PostTest']"
"['Low ESF', 'Moderate TN', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CP', 'Mild Depression', 'Low TN'] --> ['High PostTest']"
"['Moderate PreTest', 'Mild Depression', 'Low TN'] --> ['High PostTest']"
"['Moderate TP', 'Mild Depression', 'Low TN'] --> ['High PostTest']"
"['Neutral Delta', 'Mild Depression', 'Low TN'] --> ['High PostTest']"
"['Moderate CP', 'Moderate Anxiety', 'Low TN'] --> ['High PostTest']"
"['Moderate TP', 'Moderate Anxiety', 'Low TN'] --> ['High PostTest']"
"['Moderate CN', 'Moderate PreTest', 'Low TN'] --> ['High PostTest']"
"['Moderate CRF', 'Severe Anxiety', 'Low TN'] --> ['High PostTest']"
"['Moderate ESF', 'Severe Anxiety', 'Low TN'] --> ['High PostTest']"
"['Neutral Delta', 'Moderate TP', 'Low TN'] --> ['High PostTest']"
"['Moderate CN', 'Mild Anxiety', 'Mild Depression'] --> ['High PostTest']"
"['Mild Anxiety', 'Moderate CP', 'Mild Depression'] --> ['High PostTest']"
"['Moderate CRF', 'Mild Anxiety', 'Mild Depression'] --> ['High PostTest']"
"['Mild Anxiety', 'Mild Depression', 'Moderate TP'] --> ['High PostTest']"
"['Mild Anxiety', 'Positive Delta', 'Mild Depression'] --> ['High PostTest']"
"['Moderate CN', 'Mild Anxiety', 'Moderate PreTest'] --> ['High PostTest']"
"['Mild Anxiety', 'Moderate CP', 'Negative Delta'] --> ['High PostTest']"
"['Moderate CRF', 'Mild Anxiety', 'Negative Delta'] --> ['High PostTest']"
"['Mild Anxiety', 'Moderate Depression', 'Normal Stress'] --> ['High PostTest']"
"['Mild Anxiety', 'Positive Delta', 'Moderate Depression'] --> ['High PostTest']"
"['Moderate PreTest', 'Mild Anxiety', 'Moderate TN'] --> ['High PostTest']"
"['Moderate CN', 'Mild Depression', 'Negative Delta'] --> ['High PostTest']"
"['Moderate CP', 'Mild Depression', 'Negative Delta'] --> ['High PostTest']"
"['Moderate CP', 'Mild Depression', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CRF', 'Mild Depression', 'Negative Delta'] --> ['High PostTest']"
"['Moderate TN', 'Mild Depression', 'Negative Delta'] --> ['High PostTest']"
"['Mild Stress', 'Moderate TP', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate CN', 'Negative Delta', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CN', 'Neutral Delta', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CP', 'Neutral Delta', 'Moderate TN'] --> ['High PostTest']"
"['Moderate CRF', 'Moderate Depression', 'Moderate PreTest'] --> ['High PostTest']"
"['Moderate CRF', 'Moderate Depression', 'Neutral Delta'] --> ['High PostTest']"
"['Moderate CRF', 'Moderate PreTest', 'Severe Anxiety'] --> ['High PostTest']"
"['Moderate CRF', 'Neutral Delta', 'Moderate TP'] --> ['High PostTest']"
"['Moderate CRF', 'Neutral Delta', 'Severe Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate Depression', 'Normal Stress'] --> ['High PostTest']"
"['Moderate PreTest', 'Severe Anxiety', 'Moderate ESF'] --> ['High PostTest']"
"['Positive Delta', 'Moderate Stress', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate PreTest', 'Severe Anxiety', 'Normal Depression'] --> ['High PostTest']"
"['Neutral Delta', 'Normal Stress', 'Moderate TP'] --> ['High PostTest']"
"['Moderate CRF', 'High CP', 'High ESF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CRF', 'High CP', 'Positive Delta', 'High ESF'] --> ['High PostTest']"
"['High CP', 'High TN', 'High PreTest', 'Moderate ESF'] --> ['High PostTest']"
"['High CP', 'Low CN', 'Mild Stress', 'High PreTest'] --> ['High PostTest']"
"['High CP', 'Moderate TP', 'High PreTest', 'Low TN'] --> ['High PostTest']"
"['Normal Depression', 'High CP', 'Mild Stress', 'High PreTest'] --> ['High PostTest']"
"['High CP', 'Moderate TP', 'High PreTest', 'Moderate Anxiety'] --> ['High PostTest']"
"['High CP', 'Normal Anxiety', 'High PreTest', 'Moderate TP'] --> ['High PostTest']"
"['Severe Anxiety', 'High CP', 'Normal Stress', 'High PreTest'] --> ['High PostTest']"
"['High CP', 'Low CN', 'Moderate TP', 'Mild Anxiety'] --> ['High PostTest']"
"['Moderate CRF', 'High CP', 'Low CN', 'Mild Stress'] --> ['High PostTest']"
"['High CP', 'Low CN', 'Mild Stress', 'Moderate ESF'] --> ['High PostTest']"
"['High CP', 'Low CN', 'Positive Delta', 'Mild Stress'] --> ['High PostTest']"
"['High CP', 'Low CN', 'Positive Delta', 'Moderate Depression'] --> ['High PostTest']"
"['High CP', 'Low CN', 'Moderate TP', 'Moderate ESF'] --> ['High PostTest']"
"['High CP', 'Low CN', 'Normal Anxiety', 'Moderate TP'] --> ['High PostTest']"
"['High CP', 'Low CN', 'Positive Delta', 'Severe Anxiety'] --> ['High PostTest']"
"['Low ESF', 'High CP', 'Moderate CN', 'Normal Stress'] --> ['High PostTest']"
"['Low ESF', 'High CP', 'Moderate TN', 'Normal Depression'] --> ['High PostTest']"
"['High CP', 'Mild Anxiety', 'Mild Depression', 'Low TN'] --> ['High PostTest']"
"['High CP', 'Mild Anxiety', 'Neutral Delta', 'Low TN'] --> ['High PostTest']"
"['High CP', 'Positive Delta', 'Mild Depression', 'Low TN'] --> ['High PostTest']"
"['Moderate CRF', 'High CP', 'Moderate TP', 'Low TN'] --> ['High PostTest']"
"['High CP', 'Moderate TP', 'Moderate ESF', 'Low TN'] --> ['High PostTest']"
"['High CP', 'Positive Delta', 'Moderate TP', 'Low TN'] --> ['High PostTest']"
"['High CP', 'Mild Anxiety', 'Positive Delta', 'Mild Depression'] --> ['High PostTest']"
"['Moderate CN', 'High CP', 'Mild Anxiety', 'Positive Delta'] --> ['High PostTest']"
"['Moderate CRF', 'High CP', 'Mild Depression', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'High CP', 'Mild Depression', 'Normal Anxiety'] --> ['High PostTest']"
"['High CP', 'Moderate TN', 'Mild Depression', 'Normal Anxiety'] --> ['High PostTest']"
"['High CP', 'Positive Delta', 'Mild Depression', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CRF', 'High CP', 'Mild Stress', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CN', 'High CP', 'Moderate PreTest', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CN', 'High CP', 'Neutral Delta', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CRF', 'High CP', 'Moderate Depression', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate CRF', 'High CP', 'Positive Delta', 'Moderate Depression'] --> ['High PostTest']"
"['Moderate CRF', 'High CP', 'Normal Anxiety', 'Moderate TP'] --> ['High PostTest']"
"['High CP', 'Positive Delta', 'Moderate Depression', 'Moderate ESF'] --> ['High PostTest']"
"['High CP', 'Moderate TP', 'Normal Anxiety', 'Moderate ESF'] --> ['High PostTest']"
"['High CP', 'Positive Delta', 'Severe Anxiety', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate PreTest', 'High CP', 'Moderate TN', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'High CP', 'Normal Depression', 'Moderate TP'] --> ['High PostTest']"
"['High PreTest', 'High CRF', 'Severe Anxiety', 'High TP'] --> ['High PostTest']"
"['High PreTest', 'Low CN', 'High CRF', 'Mild Depression'] --> ['High PostTest']"
"['High PreTest', 'Positive Delta', 'High CRF', 'Mild Depression'] --> ['High PostTest']"
"['High PreTest', 'Moderate CP', 'High CRF', 'Normal Depression'] --> ['High PostTest']"
"['High PreTest', 'Normal Stress', 'Moderate CP', 'High CRF'] --> ['High PostTest']"
"['High PreTest', 'Positive Delta', 'Moderate CP', 'High CRF'] --> ['High PostTest']"
"['High PreTest', 'Moderate Depression', 'High CRF', 'Moderate ESF'] --> ['High PostTest']"
"['High PreTest', 'High CRF', 'Normal Depression', 'Moderate TP'] --> ['High PostTest']"
"['High PreTest', 'Normal Stress', 'High CRF', 'Moderate TP'] --> ['High PostTest']"
"['High PreTest', 'Positive Delta', 'High CRF', 'Moderate TP'] --> ['High PostTest']"
"['High PreTest', 'Positive Delta', 'High CRF', 'Severe Anxiety'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate Depression', 'High CRF', 'High TP'] --> ['High PostTest']"
"['Positive Delta', 'High CRF', 'Severe Anxiety', 'High TP'] --> ['High PostTest']"
"['Low CN', 'Positive Delta', 'High CRF', 'Mild Depression'] --> ['High PostTest']"
"['Low CN', 'Moderate ESF', 'High CRF', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'Low CN', 'High CRF', 'Moderate Anxiety'] --> ['High PostTest']"
"['Low CN', 'Moderate TN', 'High CRF', 'Moderate ESF'] --> ['High PostTest']"
"['Low CN', 'High CRF', 'Negative Delta', 'Moderate ESF'] --> ['High PostTest']"
"['Low CN', 'Moderate TN', 'High CRF', 'Normal Depression'] --> ['High PostTest']"
"['Low CN', 'Moderate TN', 'Normal Stress', 'High CRF'] --> ['High PostTest']"
"['Low CN', 'Moderate TN', 'High CRF', 'Positive Delta'] --> ['High PostTest']"
"['Low CN', 'High CRF', 'Negative Delta', 'Normal Anxiety'] --> ['High PostTest']"
"['Low CN', 'Normal Stress', 'High CRF', 'Negative Delta'] --> ['High PostTest']"
"['Mild Depression', 'Positive Delta', 'High CRF', 'Low TN'] --> ['High PostTest']"
"['Moderate ESF', 'High CRF', 'Negative Delta', 'Low TN'] --> ['High PostTest']"
"['Moderate CN', 'Mild Anxiety', 'Positive Delta', 'High CRF'] --> ['High PostTest']"
"['Mild Anxiety', 'Moderate TN', 'High CRF', 'Positive Delta'] --> ['High PostTest']"
"['Moderate TN', 'Normal Stress', 'High CRF', 'Mild Depression'] --> ['High PostTest']"
"['Normal Stress', 'Positive Delta', 'High CRF', 'Mild Depression'] --> ['High PostTest']"
"['Moderate CN', 'High CRF', 'Normal Depression', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate ESF', 'High CRF', 'Moderate Anxiety'] --> ['High PostTest']"
"['Normal Stress', 'Moderate ESF', 'High CRF', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate PreTest', 'Normal Stress', 'High CRF', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate TN', 'High CRF', 'Normal Depression', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate TN', 'Normal Stress', 'High CRF', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate CN', 'High CRF', 'Normal Anxiety', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate CN', 'High CRF', 'Normal Depression', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate CN', 'Normal Depression', 'High CRF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CN', 'Positive Delta', 'High CRF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CN', 'Positive Delta', 'High CRF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CN', 'Normal Stress', 'High CRF', 'Positive Delta'] --> ['High PostTest']"
"['Moderate CP', 'High CRF', 'Normal Depression', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate CP', 'Normal Stress', 'High CRF', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate CP', 'Positive Delta', 'High CRF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CP', 'Normal Stress', 'High CRF', 'Positive Delta'] --> ['High PostTest']"
"['Positive Delta', 'Moderate Depression', 'High CRF', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate TN', 'High CRF', 'Normal Anxiety', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate TP', 'High CRF', 'Normal Depression', 'Moderate ESF'] --> ['High PostTest']"
"['Moderate TP', 'Normal Stress', 'High CRF', 'Moderate ESF'] --> ['High PostTest']"
"['Normal Anxiety', 'High CRF', 'Negative Delta', 'Moderate ESF'] --> ['High PostTest']"
"['Normal Depression', 'High CRF', 'Negative Delta', 'Moderate ESF'] --> ['High PostTest']"
"['Normal Depression', 'Moderate TN', 'High CRF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate TN', 'High CRF', 'Normal Depression', 'Positive Delta'] --> ['High PostTest']"
"['Positive Delta', 'High CRF', 'Normal Depression', 'Moderate TP'] --> ['High PostTest']"
"['Normal Stress', 'Positive Delta', 'High CRF', 'Moderate TP'] --> ['High PostTest']"
"['Normal Depression', 'High CRF', 'Negative Delta', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CP', 'High PreTest', 'High ESF', 'High TP'] --> ['High PostTest']"
"['High PreTest', 'Positive Delta', 'High ESF', 'Low TN'] --> ['High PostTest']"
"['High PreTest', 'High ESF', 'Normal Depression', 'Moderate Anxiety'] --> ['High PostTest']"
"['Moderate CP', 'High PreTest', 'High ESF', 'Normal Depression'] --> ['High PostTest']"
"['High PreTest', 'High ESF', 'Normal Depression', 'Moderate TP'] --> ['High PostTest']"
"['High PreTest', 'Positive Delta', 'High ESF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate CP', 'Positive Delta', 'High ESF', 'High TP'] --> ['High PostTest']"
"['Moderate CRF', 'Positive Delta', 'High ESF', 'High TP'] --> ['High PostTest']"
"['High ESF', 'Moderate TN', 'Normal Depression', 'High TP'] --> ['High PostTest']"
"['Positive Delta', 'High ESF', 'Moderate TN', 'High TP'] --> ['High PostTest']"
"['Positive Delta', 'High ESF', 'Normal Anxiety', 'High TP'] --> ['High PostTest']"
"['Low CN', 'High ESF', 'Normal Depression', 'Moderate TP'] --> ['High PostTest']"
"['Moderate CRF', 'Moderate CP', 'High ESF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CP', 'Positive Delta', 'High ESF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CRF', 'Positive Delta', 'High ESF', 'Normal Depression'] --> ['High PostTest']"
"['High PreTest', 'High TN', 'Moderate ESF', 'High TP'] --> ['High PostTest']"
"['Moderate CRF', 'High PreTest', 'High TN', 'Moderate ESF'] --> ['High PostTest']"
"['Low ESF', 'High PreTest', 'Mild Anxiety', 'High TP'] --> ['High PostTest']"
"['Low ESF', 'High PreTest', 'Moderate CP', 'High TP'] --> ['High PostTest']"
"['Low ESF', 'High PreTest', 'Moderate TN', 'High TP'] --> ['High PostTest']"
"['Severe Anxiety', 'High PreTest', 'Normal Depression', 'High TP'] --> ['High PostTest']"
"['High PreTest', 'Normal Stress', 'Severe Anxiety', 'High TP'] --> ['High PostTest']"
